(1435248031085671776 exit  prim -)
(1435248031085673759 enter func fib)
(1435248031085705459 enter prim if)
(1435248031085712725 enter prim <=)
(1435248031085714958 exit  prim <=)
(1435248031085717583 exit  prim if)
(1435248031085719384 exit  func fib)
(1435248031085721266 enter prim +)
(1435248031085723594 exit  prim +)
(1435248031085725353 exit  prim if)
(1435248031085727138 exit  func fib)
(1435248031085735737 enter prim -)
(1435248031085738214 exit  prim -)
(1435248031085740275 enter func fib)
(1435248031085752643 enter prim if)
(1435248031085762500 enter prim <=)
(1435248031085764716 exit  prim <=)
(1435248031085767358 exit  prim if)
(1435248031085769177 exit  func fib)
(1435248031085771130 enter prim +)
(1435248031085773426 exit  prim +)
(1435248031085775236 exit  prim if)
(1435248031085777062 exit  func fib)
(1435248031085787244 enter prim -)
(1435248031085789708 exit  prim -)
(1435248031085791776 enter func fib)
(1435248031085804085 enter prim if)
(1435248031085810454 enter prim <=)
(1435248031085812662 exit  prim <=)
(1435248031085826056 enter prim -)
(1435248031085828531 exit  prim -)
(1435248031085830526 enter func fib)
(1435248031085842332 enter prim if)
(1435248031085848767 enter prim <=)
(1435248031085850911 exit  prim <=)
(1435248031085853529 exit  prim if)
(1435248031085855302 exit  func fib)
(1435248031085863633 enter prim -)
(1435248031085865999 exit  prim -)
(1435248031085868008 enter func fib)
(1435248031085888683 enter prim if)
(1435248031085895468 enter prim <=)
(1435248031085897659 exit  prim <=)
(1435248031085900346 exit  prim if)
(1435248031085902126 exit  func fib)
(1435248031085904034 enter prim +)
(1435248031085906279 exit  prim +)
(1435248031085908056 exit  prim if)
(1435248031085909870 exit  func fib)
(1435248031085911770 enter prim +)
(1435248031085913959 exit  prim +)
(1435248031085918903 exit  prim if)
(1435248031085920756 exit  func fib)
(1435248031085934367 enter prim -)
(1435248031085937355 exit  prim -)
(1435248031085939429 enter func fib)
(1435248031085951844 enter prim if)
(1435248031085958215 enter prim <=)
(1435248031085960458 exit  prim <=)
(1435248031085973834 enter prim -)
(1435248031085976225 exit  prim -)
(1435248031085978205 enter func fib)
(1435248031085990294 enter prim if)
(1435248031085996581 enter prim <=)
(1435248031085998716 exit  prim <=)
(1435248031086013744 enter prim -)
(1435248031086016247 exit  prim -)
(1435248031086018256 enter func fib)
(1435248031086030418 enter prim if)
(1435248031086036697 enter prim <=)
(1435248031086038901 exit  prim <=)
(1435248031086041530 exit  prim if)
(1435248031086043313 exit  func fib)
(1435248031086051652 enter prim -)
(1435248031086053955 exit  prim -)
(1435248031086055940 enter func fib)
(1435248031086067786 enter prim if)
(1435248031086304638 enter prim <=)
(1435248031086310244 exit  prim <=)
(1435248031086313209 exit  prim if)
(1435248031086315178 exit  func fib)
(1435248031086317189 enter prim +)
(1435248031086319508 exit  prim +)
(1435248031086321278 exit  prim if)
(1435248031086323090 exit  func fib)
(1435248031086333231 enter prim -)
(1435248031086335715 exit  prim -)
(1435248031086348052 enter func fib)
(1435248031086374558 enter prim if)
(1435248031086382700 enter prim <=)
(1435248031086385143 exit  prim <=)
(1435248031086387872 exit  prim if)
(1435248031086389738 exit  func fib)
(1435248031086391749 enter prim +)
(1435248031086394111 exit  prim +)
(1435248031086395880 exit  prim if)
(1435248031086397644 exit  func fib)
(1435248031086399578 enter prim +)
(1435248031086401807 exit  prim +)
(1435248031086403550 exit  prim if)
(1435248031086405313 exit  func fib)
(1435248031086416010 enter prim -)
(1435248031086418565 exit  prim -)
(1435248031086420664 enter func fib)
(1435248031086433458 enter prim if)
(1435248031086439945 enter prim <=)
